Date,BTC,DXY,Gold,SP500,Yield_10Y,VIX,BTC_norm,DXY_norm,Gold_norm,SP500_norm,Yield_10Y_norm,BTC_pct_chg,DXY_pct_chg,Gold_pct_chg,SP500_pct_chg,Yield_10Y_pct_chg
2016-01-19,380.1489868164063,98.98999786376952,1089.9000244140625,1881.3299560546875,2.0350000858306885,26.049999237060547,87.52457182300742,100.1213665559361,101.37662070172209,93.47480071672774,90.64588817668931,-0.01812911310968357,-0.001311590791062689,-0.0014658502848717836,0.0005318215543925753,0.002000093460083452
2016-01-20,420.2300109863281,99.08999633789062,1107.0999755859375,1859.3299560546875,1.9839999675750728,27.59000015258789,96.75272867824127,100.22250792474685,102.97646737295847,92.38171993674563,88.37416787132658,0.10543504141779825,0.0010101876581383173,0.015781219182118944,-0.011693855152413501,-0.05100011825561568
2016-01-21,410.2619934082031,99.05999755859376,1099.0999755859375,1868.989990234375,2.0190000534057617,26.690000534057617,94.45771672054545,100.19216628576284,102.23235052971886,92.86168346837229,89.93319181853595,-0.023720384830985597,-0.0003027427632005253,-0.0072260863304292045,0.005195438361131455,0.03500008583068892
2016-01-22,382.4920043945313,99.56999969482422,1097.199951171875,1906.9000244140625,2.0480000972747803,22.34000015258789,88.06402245265808,100.70799729826687,102.05562050858505,94.74526209247603,91.22495330394005,-0.06768842705359057,0.005148416604076722,-0.0017287093588093105,0.020283701024494727,0.029000043869018555
2016-01-23,387.4909973144531,99.56999969482422,1097.199951171875,1906.9000244140625,2.0480000972747803,22.34000015258789,89.2149783411022,100.70799729826687,102.05562050858505,94.74526209247603,91.22495330394005,0.013069535735354743,0.0,0.0,0.0,0.0
2016-01-24,402.9710083007813,99.56999969482422,1097.199951171875,1906.9000244140625,2.0480000972747803,22.34000015258789,92.77905816343818,100.70799729826687,102.05562050858505,94.74526209247603,91.22495330394005,0.03994934358117752,0.0,0.0,0.0,0.0
2016-01-25,391.72601318359375,99.36000061035156,1106.199951171875,1877.0799560546875,2.0220000743865967,24.14999961853028,90.19003802418689,100.49559810878681,102.89275195722962,93.2636373842312,90.06682304943855,-0.02790522118354033,-0.0021090598083387535,0.008202698141198006,-0.015637982053378963,-0.026000022888183594
2016-01-26,392.1530151367188,99.36000061035156,1121.699951171875,1903.6300048828125,1.99399995803833,22.5,90.28834990824015,100.49559810878681,104.3344783410064,94.58278956975896,88.81960176767473,0.0010900525845980447,0.0,0.014011933361215423,0.014144335590226431,-0.0280001163482666
2016-01-27,394.9719848632813,98.9000015258789,1116.0999755859375,1882.949951171875,2.000999927520752,23.11000061035156,90.9373825950445,100.03034163898403,103.81359882160307,93.55529096792151,89.13140443312024,0.007188443331437089,-0.004629620386946032,-0.004992400668366814,-0.010863483795639506,0.006999969482421875
2016-01-28,380.28900146484375,98.51000213623048,1115.5999755859375,1893.3599853515625,1.9850000143051147,22.420000076293945,87.55680845279845,99.63588489900795,103.76709151890057,94.07251861704758,88.41871338495777,-0.037174746465929775,-0.003943370916393518,-0.0004479885412931317,0.005528577205787588,-0.015999913215637207
2016-01-29,379.4739990234375,99.61000061035156,1116.4000244140625,1940.239990234375,1.930999994277954,20.200000762939453,87.36916428645154,100.74845538910951,103.8415077449533,96.40177463081443,86.01336715868334,-0.0021431133644858047,0.01116636331608123,0.0007171466884487998,0.0247602174153414,-0.054000020027160645
2016-01-30,378.2550048828125,99.61000061035156,1116.4000244140625,1940.239990234375,1.930999994277954,20.200000762939453,87.08850606056369,100.74845538910951,103.8415077449533,96.40177463081443,86.01336715868334,-0.003212325860960319,0.0,0.0,0.0,0.0
2016-01-31,368.7669982910156,99.61000061035156,1116.4000244140625,1940.239990234375,1.930999994277954,20.200000762939453,84.90401065691829,100.74845538910951,103.8415077449533,96.40177463081443,86.01336715868334,-0.025083624722259446,0.0,0.0,0.0,0.0
2016-02-01,373.0559997558594,99.0,1127.9000244140625,1939.3800048828125,1.965999960899353,19.979999542236328,85.89149985135879,100.13148300779476,104.91117570711026,96.35904583722991,87.5723857959018,0.011630654274163321,-0.006123889234151525,0.010300967169931452,-0.00044323658717015935,0.034999966621398926
2016-02-02,374.447998046875,98.87000274658205,1127.300048828125,1903.030029296875,1.8639999628067017,21.979999542236328,86.2119901291833,100.0,104.85536921473168,94.5529794887841,83.02895580515816,0.0037313387049842106,-0.0013131035698783489,-0.0005319403962680269,-0.018743090830274922,-0.10199999809265137
2016-02-03,369.9490051269531,97.29000091552734,1141.300048828125,1912.530029296875,1.88100004196167,21.64999961853028,85.1761530163487,98.4019401363784,106.15757369040102,95.02499164377639,83.78619767694269,-0.012015000596581338,-0.015980598636216037,0.012419053839795025,0.004992038934619414,0.01700007915496826
2016-02-04,389.593994140625,96.47000122070312,1157.5999755859375,1915.449951171875,1.8639999628067017,21.84000015258789,89.69916718058141,97.57256856558357,107.67370494590858,95.1700693928951,83.02895580515816,0.053101883614825374,-0.008428406692443047,0.014281894383995741,0.0015267325638141926,-0.01700007915496826
2016-02-05,386.5490112304688,97.02999877929688,1157.800048828125,1880.050048828125,1.8480000495910645,23.3799991607666,88.99809777184323,98.13896640419706,107.69231467958274,93.41120789902249,82.31626475699571,-0.007815785037633582,0.005804888063726699,0.00017283452523075837,-0.018481246310869337,-0.015999913215637207
2016-02-06,376.5220031738281,97.02999877929688,1157.800048828125,1880.050048828125,1.8480000495910645,23.3799991607666,86.68950399082873,98.13896640419706,107.69231467958274,93.41120789902249,82.31626475699571,-0.025939810387103468,0.0,0.0,0.0,0.0
2016-02-07,376.6199951171875,97.02999877929688,1157.800048828125,1880.050048828125,1.8480000495910645,23.3799991607666,86.71206541590698,98.13896640419706,107.69231467958274,93.41120789902249,82.31626475699571,0.00026025555620479146,0.0,0.0,0.0,0.0
2016-02-08,373.4469909667969,96.56999969482422,1197.9000244140625,1853.43994140625,1.7350000143051147,26.0,85.98152071031319,97.6737099343943,111.42219808545694,92.08907167283562,77.28285535627278,-0.00842494873221833,-0.004740792438006403,0.03463462937881623,-0.014153935656373462,-0.11300003528594971
2016-02-09,376.0289916992188,96.06999969482422,1198.699951171875,1852.2099609375,1.7289999723434448,26.540000915527344,86.57599423619179,97.16799537374887,111.49660295718773,92.02795949055633,77.01559289446755,0.006913968501225609,-0.005177591400849946,0.0006677742228144989,-0.0006636203533073592,-0.006000041961669922
2016-02-10,381.6489868164063,95.88999938964844,1194.699951171875,1851.8599853515625,1.7050000429153442,26.290000915527344,87.86992814983599,96.98593782325284,111.12454453556792,92.01057078208127,75.94655366722839,0.014945643131907493,-0.001873636991231109,-0.0033369484966521146,-0.00018895027740828407,-0.023999929428100586
2016-02-11,379.6539916992188,95.55999755859376,1247.9000244140625,1829.0799560546875,1.6440000534057615,28.13999938964844,87.41060535936079,96.65216436124484,116.07292835570458,90.87873386427017,73.22940477550844,-0.005227303585499055,-0.0034414624377430147,0.044530070659167365,-0.012301161792504733,-0.06099998950958274
2016-02-12,384.2630004882813,95.9800033569336,1239.0999755859375,1864.780029296875,1.7480000257492063,25.39999961853028,88.47177225650157,97.07697045679676,115.25439528641222,92.65250949631516,77.86192048352352,0.012140024574571084,0.0043952052016567045,-0.007051886093404791,0.019518049565855122,0.10399997234344482
2016-02-13,391.8599853515625,95.9800033569336,1239.0999755859375,1864.780029296875,1.7480000257492063,25.39999961853028,90.22088344807152,97.07697045679676,115.25439528641222,92.65250949631516,77.86192048352352,0.019770274144603306,0.0,0.0,0.0,0.0
2016-02-14,407.2300109863281,95.9800033569336,1239.0999755859375,1864.780029296875,1.7480000257492063,25.39999961853028,93.75964051239379,97.07697045679676,115.25439528641222,92.65250949631516,77.86192048352352,0.03922325884072131,0.0,0.0,0.0,0.0
2016-02-15,400.18499755859375,95.9800033569336,1239.0999755859375,1864.780029296875,1.7480000257492063,25.39999961853028,92.137613872487,97.07697045679676,115.25439528641222,92.65250949631516,77.86192048352352,-0.017299838513058163,0.0,0.0,0.0,0.0
2016-02-16,407.4880065917969,96.87000274658205,1207.9000244140625,1895.5799560546875,1.777999997138977,24.11000061035156,93.81904078882218,97.97714175741828,112.35234413950647,94.18281894921617,79.19822217256791,0.018249082493738022,0.009272758475936893,-0.025179526903889582,0.01651665412216241,0.02999997138977073
2016-02-17,416.3219909667969,96.79000091552734,1211.0999755859375,1926.8199462890625,1.819000005722046,22.309999465942383,95.8529557188294,97.89622557573297,112.64998633507352,95.73499317158094,81.02450327159158,0.021679127316867275,-0.0008258679548507342,0.002649185451773839,0.01648043921048603,0.04100000858306885
2016-02-18,422.37298583984375,96.9499969482422,1226.0999755859375,1917.8299560546875,1.758999943733215,21.63999938964844,97.24612196083868,98.05805022251178,114.04520541614782,95.2883211016981,78.35189458351192,0.014534410875089776,0.0016530223287680723,0.012385434978431809,-0.004665713707027619,-0.06000006198883079
2016-02-19,420.7850036621094,96.5999984741211,1230.4000244140625,1917.780029296875,1.7480000257492063,20.530000686645508,96.88050883285764,97.70405157337832,114.4451727611179,95.28584046627212,77.86192048352352,-0.003759667949825962,-0.003610092678063337,0.003507094783253839,-2.6032942938902792e-05,-0.010999917984008789
2016-02-20,437.16400146484375,96.5999984741211,1230.4000244140625,1917.780029296875,1.7480000257492063,20.530000686645508,100.65156917838118,97.70405157337832,114.4451727611179,95.28584046627212,77.86192048352352,0.03892486105775461,0.0,0.0,0.0,0.0
2016-02-21,438.7980041503906,96.5999984741211,1230.4000244140625,1917.780029296875,1.7480000257492063,20.530000686645508,101.02777795538684,97.70405157337832,114.4451727611179,95.28584046627212,77.86192048352352,0.003737733848330871,0.0,0.0,0.0,0.0
2016-02-22,437.74798583984375,97.37999725341795,1209.5,1945.5,1.7660000324249268,19.3799991607666,100.78602431083137,98.4929650533305,112.50116523729,96.66312079342002,78.66370255894833,-0.0023929423119869453,0.008074521652356115,-0.016986365409099702,0.014454197186153817,0.018000006675720437
2016-02-23,420.7359924316406,97.4800033569336,1222.300048828125,1921.27001953125,1.7450000047683716,20.979999542236328,96.86922460717228,98.59411413873303,113.69175672820218,95.45924234115942,77.72828925262091,-0.03886252811778146,0.0010269676148726425,0.010582925860376236,-0.012454371867771763,-0.021000027656555176
2016-02-24,424.9549865722656,97.45999908447266,1238.699951171875,1929.800048828125,1.7419999837875366,20.71999931335449,97.84059548671725,98.57388123501582,115.21718717338582,95.88306102648208,77.59465802171829,0.01002765205857803,-0.0002052141133775942,0.013417247556746226,0.004439786812972857,-0.003000020980834961
2016-02-25,424.54400634765625,97.29000091552734,1238.199951171875,1951.699951171875,1.6970000267028809,19.11000061035156,97.74597240620373,98.4019401363784,115.17067987068334,96.97116840536567,75.59020548815171,-0.0009671147241367972,-0.0017442865846732936,-0.00040364900275247084,0.011348275359951865,-0.04499995708465576
2016-02-26,432.1520080566406,98.1500015258789,1219.800048828125,1948.050048828125,1.7619999647140503,19.809999465942383,99.49762008935055,99.27176979801588,113.4592202146898,96.78982121896726,78.48552581441454,0.017920407767467728,0.00883955804562353,-0.014860202769621855,-0.0018701144822791393,0.06499993801116943
2016-02-27,432.5190124511719,98.1500015258789,1219.800048828125,1948.050048828125,1.7619999647140503,19.809999465942383,99.58211828243405,99.27176979801588,113.4592202146898,96.78982121896726,78.48552581441454,0.0008492483841082699,0.0,0.0,0.0,0.0
2016-02-28,433.5039978027344,98.1500015258789,1219.800048828125,1948.050048828125,1.7619999647140503,19.809999465942383,99.80889889776442,99.27176979801588,113.4592202146898,96.78982121896726,78.48552581441454,0.0022773226683849845,0.0,0.0,0.0,0.0
2016-02-29,437.6969909667969,98.20999908447266,1233.9000244140625,1932.22998046875,1.7400000095367432,20.549999237060547,100.77428337613634,99.33245307598395,114.77072388003522,96.00379337071107,77.50557230444684,0.009672328710496725,0.0006112843368415444,0.011559251534285053,-0.008120976341902342,-0.02199995517730713
