Date,BTC,DXY,Gold,SP500,Yield_10Y,VIX
2016-01-01,434.3340148925781,,,,,
2016-01-02,433.43798828125,,,,,
2016-01-03,430.010986328125,,,,,
2016-01-04,433.09100341796875,98.87000274658203,1075.0999755859375,2012.6600341796875,2.244999885559082,20.700000762939453
2016-01-05,431.9599914550781,99.4000015258789,1078.4000244140625,2016.7099609375,2.247999906539917,19.34000015258789
2016-01-06,429.1050109863281,99.18000030517578,1091.9000244140625,1990.260009765625,2.177000045776367,20.59000015258789
2016-01-07,458.0480041503906,98.22000122070312,1107.699951171875,1943.0899658203125,2.1530001163482666,24.989999771118164
2016-01-08,453.2300109863281,98.54000091552734,1097.800048828125,1922.030029296875,2.130000114440918,27.010000228881836
2016-01-09,447.6109924316406,,,,,
2016-01-10,447.9909973144531,,,,,
2016-01-11,448.4280090332031,98.7300033569336,1096.5,1923.6700439453125,2.1579999923706055,24.299999237060547
2016-01-12,435.69000244140625,98.97000122070312,1085.5999755859375,1938.6800537109375,2.1019999980926514,22.469999313354492
2016-01-13,432.3710021972656,98.93000030517578,1087.5,1890.280029296875,2.065999984741211,25.219999313354492
2016-01-14,430.3059997558594,99.08999633789062,1073.9000244140625,1921.8399658203125,2.0980000495910645,23.950000762939453
2016-01-15,364.33099365234375,98.95999908447266,1091.5,1880.3299560546875,2.0329999923706055,27.020000457763672
2016-01-16,387.5360107421875,,,,,
2016-01-17,382.29901123046875,,,,,
2016-01-18,387.1679992675781,99.12000274658203,,,,
2016-01-19,380.14898681640625,98.98999786376953,1089.9000244140625,1881.3299560546875,2.0350000858306885,26.049999237060547
2016-01-20,420.2300109863281,99.08999633789062,1107.0999755859375,1859.3299560546875,1.9839999675750732,27.59000015258789
2016-01-21,410.2619934082031,99.05999755859375,1099.0999755859375,1868.989990234375,2.0190000534057617,26.690000534057617
2016-01-22,382.49200439453125,99.56999969482422,1097.199951171875,1906.9000244140625,2.0480000972747803,22.34000015258789
2016-01-23,387.4909973144531,,,,,
2016-01-24,402.97100830078125,,,,,
2016-01-25,391.72601318359375,99.36000061035156,1106.199951171875,1877.0799560546875,2.0220000743865967,24.149999618530273
2016-01-26,392.15301513671875,99.36000061035156,1121.699951171875,1903.6300048828125,1.99399995803833,22.5
2016-01-27,394.97198486328125,98.9000015258789,1116.0999755859375,1882.949951171875,2.000999927520752,23.110000610351562
2016-01-28,380.28900146484375,98.51000213623047,1115.5999755859375,1893.3599853515625,1.9850000143051147,22.420000076293945
2016-01-29,379.4739990234375,99.61000061035156,1116.4000244140625,1940.239990234375,1.930999994277954,20.200000762939453
2016-01-30,378.2550048828125,,,,,
2016-01-31,368.7669982910156,,,,,
2016-02-01,373.0559997558594,99.0,1127.9000244140625,1939.3800048828125,1.965999960899353,19.979999542236328
2016-02-02,374.447998046875,98.87000274658203,1127.300048828125,1903.030029296875,1.8639999628067017,21.979999542236328
2016-02-03,369.9490051269531,97.29000091552734,1141.300048828125,1912.530029296875,1.88100004196167,21.649999618530273
2016-02-04,389.593994140625,96.47000122070312,1157.5999755859375,1915.449951171875,1.8639999628067017,21.84000015258789
2016-02-05,386.54901123046875,97.02999877929688,1157.800048828125,1880.050048828125,1.8480000495910645,23.3799991607666
2016-02-06,376.5220031738281,,,,,
2016-02-07,376.6199951171875,,,,,
2016-02-08,373.4469909667969,96.56999969482422,1197.9000244140625,1853.43994140625,1.7350000143051147,26.0
2016-02-09,376.02899169921875,96.06999969482422,1198.699951171875,1852.2099609375,1.7289999723434448,26.540000915527344
2016-02-10,381.64898681640625,95.88999938964844,1194.699951171875,1851.8599853515625,1.7050000429153442,26.290000915527344
2016-02-11,379.65399169921875,95.55999755859375,1247.9000244140625,1829.0799560546875,1.6440000534057617,28.139999389648438
2016-02-12,384.26300048828125,95.9800033569336,1239.0999755859375,1864.780029296875,1.7480000257492065,25.399999618530273
2016-02-13,391.8599853515625,,,,,
2016-02-14,407.2300109863281,,,,,
2016-02-15,400.18499755859375,,,,,
2016-02-16,407.4880065917969,96.87000274658203,1207.9000244140625,1895.5799560546875,1.777999997138977,24.110000610351562
2016-02-17,416.3219909667969,96.79000091552734,1211.0999755859375,1926.8199462890625,1.819000005722046,22.309999465942383
2016-02-18,422.37298583984375,96.94999694824219,1226.0999755859375,1917.8299560546875,1.7589999437332153,21.639999389648438
2016-02-19,420.7850036621094,96.5999984741211,1230.4000244140625,1917.780029296875,1.7480000257492065,20.530000686645508
2016-02-20,437.16400146484375,,,,,
2016-02-21,438.7980041503906,,,,,
2016-02-22,437.74798583984375,97.37999725341797,1209.5,1945.5,1.7660000324249268,19.3799991607666
2016-02-23,420.7359924316406,97.4800033569336,1222.300048828125,1921.27001953125,1.7450000047683716,20.979999542236328
2016-02-24,424.9549865722656,97.45999908447266,1238.699951171875,1929.800048828125,1.7419999837875366,20.719999313354492
2016-02-25,424.54400634765625,97.29000091552734,1238.199951171875,1951.699951171875,1.6970000267028809,19.110000610351562
2016-02-26,432.1520080566406,98.1500015258789,1219.800048828125,1948.050048828125,1.7619999647140503,19.809999465942383
2016-02-27,432.5190124511719,,,,,
2016-02-28,433.5039978027344,,,,,
2016-02-29,437.6969909667969,98.20999908447266,1233.9000244140625,1932.22998046875,1.7400000095367432,20.549999237060547
2016-03-01,435.12298583984375,98.3499984741211,1230.300048828125,1978.3499755859375,1.8339999914169312,17.700000762939453
2016-03-02,423.989013671875,98.20999908447266,1241.0999755859375,1986.449951171875,1.8480000495910645,17.09000015258789
